<<<<<<< HEAD

=======
Country,RMSE,MAE,Corr,AmpRatio,ARIMA_Order,Resid_Std,ADF_pval,LB12_pval
Afghanistan,1.4460714559971564,1.0341067063014295,0.9876283838612859,0.8203450414809823,"(1, 0, 0)",1.2187635085179043,7.601736027625923e-12,1.8634206609896833e-07
Albania,1.4308123915360205,1.1495120637577012,0.9794336086559786,0.7377576760612222,"(1, 0, 0)",1.2184651834687974,0.0,0.0012398243226192345
Algeria,1.2261639107104059,0.9236269519113424,0.9873453198712694,0.8033248229802762,"(1, 1, 1)",1.1405878960692633,0.0,6.921270115184552e-10
Angola,0.667027459745808,0.5376492177811928,0.9018015833506031,0.8301043135602315,"(2, 0, 0)",0.4639930920897265,3.043343713542518e-17,5.523070223915574e-75
Argentina,0.9931594536358248,0.7640965229041088,0.9808380255542243,0.7847398745489146,"(1, 0, 0)",1.0090064425419238,0.0,0.14226561437596885
Armenia,1.8335169745803739,1.4440465221099026,0.9811650274311638,0.7327029551091099,"(1, 0, 0)",1.650067368767174,6.1244253948941354e-30,1.1450356140235765e-16
Australia,0.5820783680075072,0.465464664200953,0.9831803934223511,0.874934880432781,"(1, 0, 1)",0.5501420675493744,6.211734950568154e-20,9.596396261171023e-10
Austria,1.7400007589125646,1.4109115882991072,0.9744876355433593,0.760642146956435,"(1, 0, 0)",1.6778553786909283,0.0,0.18132693979800568
Azerbaijan,1.7924587635560296,1.388856921412921,0.980979110373002,0.7514043898320735,"(1, 0, 0)",1.590329040618832,2.932902307070684e-30,2.6840680693545894e-11
Bahamas,0.8405439401453864,0.5750422536361028,0.9603845666736412,0.6780198381993685,"(1, 0, 0)",0.7541386532737827,2.1456666191120696e-30,1.353310247293617e-07
Bahrain,1.2379099608022204,1.0468466415713222,0.9918901468069462,0.8245570786794059,"(2, 0, 1)",0.9768419151189612,3.0145493585063233e-05,1.3567859438596092e-34
Bangladesh,0.6355869531330011,0.47746239228217474,0.987076847579023,0.8293709886867703,"(1, 0, 1)",0.6520927709955263,0.0,9.489667411710359e-05
Belarus,2.2393887694521304,1.6979900615974743,0.970035235841042,0.7126966852911031,"(1, 0, 0)",2.2570741235598857,4.793547935897848e-21,2.6819737817243766e-09
Belgium,1.582633405633773,1.233918263236236,0.9638704470315944,0.6581914327442896,"(1, 0, 0)",1.6175586906617219,0.0,0.0009497848667819156
Benin,0.4883325115250237,0.3621947275608722,0.9659481193157194,0.7711266496146045,"(1, 0, 1)",0.4484251152012066,3.2396514987183835e-09,3.8206864000533987e-39
Bolivia,0.7080227327915561,0.5374022056192491,0.9681597788239238,0.7210494163245216,"(1, 0, 1)",0.6094471730534342,1.5565550384572302e-20,3.5421798169891275e-37
Bosnia and Herzegovina,1.8109183753535896,1.4395060642590989,0.9756093945330686,0.7408553331059157,"(1, 0, 0)",1.5867365661520927,0.0,0.04562675259232041
Botswana,1.0718548766534035,0.8596890347890619,0.9737259543711329,0.8397803748546923,"(2, 0, 0)",0.9469414258512266,1.8319893845974306e-24,1.2076372176918742e-15
Brazil,0.613343998478082,0.4821535447410413,0.9469730203946274,0.7228118150186897,"(1, 0, 2)",0.5903123370316136,2.777558028421379e-18,4.967018624093689e-25
Bulgaria,1.8548226531746235,1.4655172600636304,0.9778755301258399,0.7371682041205814,"(2, 0, 1)",1.6144099539002779,0.0,0.00010255131229809937
Burkina Faso,0.6950034939892389,0.5066204407832285,0.9391085937096383,0.6155760442359176,"(2, 0, 0)",0.5833487458837777,3.11690168797476e-23,1.519614054496253e-21
Burma,0.6081468808910596,0.4780718264529008,0.9659753361203832,0.8945848422984415,"(1, 0, 1)",0.5151923503991672,1.2061533083451499e-27,5.288845123787163e-37
Burundi,0.48572610040745023,0.37154877764573,0.7481780600136132,0.49238561826120664,"(2, 0, 1)",0.3936468302746905,9.106241651598486e-17,1.702698732839264e-73
Cambodia,0.5885039951826502,0.4446783606383298,0.8925809686334845,0.7063175914962182,"(1, 0, 1)",0.5494652842320314,3.7378695867571485e-16,2.72729314815e-51
Cameroon,0.5758510174255752,0.44889287528148486,0.9270485377732995,0.6518731856134432,"(1, 0, 1)",0.4128651163862707,7.010835339568096e-20,2.9573928799718643e-44
Canada,1.486181760659347,1.092937195587509,0.988448110738284,0.8628141244704163,"(1, 0, 1)",1.434327467923943,4.655460825289965e-27,0.0005629541971906726
Central African Republic,0.6285474492445664,0.4695487490852416,0.8588534460641515,0.45264496938653576,"(2, 0, 1)",0.4414062184610398,5.707688878790433e-07,2.3637485036380252e-57
Chad,0.9156480133906384,0.6847710286656932,0.9378485850538764,0.6037035298847028,"(1, 0, 1)",0.6334576171759007,4.572707790538671e-24,1.3713471822272334e-15
Chile,0.6089356158822282,0.460743131682063,0.9807325798277085,0.7463389306280634,"(1, 0, 1)",0.5908631503222436,1.1512164645127308e-18,7.873120036553953e-19
China,1.0526247521581933,0.7450537823410843,0.9938072445721571,0.8818995214819743,"(1, 0, 1)",0.9199485138677236,0.0,0.0008895372803298911
Colombia,0.4087616773132434,0.32316092093814675,0.6292519251749203,0.4414072176809722,"(1, 0, 1)",0.4223628933322457,4.883374110663854e-10,5.616780734093367e-262
Congo,0.3887576783822031,0.3081626132263227,0.7906818949681087,0.6653155543861063,"(2, 0, 0)",0.30987128796638047,1.4791505238495178e-14,9.599543029138824e-120
Costa Rica,0.382562358776116,0.29347546927611784,0.8923422417886933,0.6046291059653266,"(1, 0, 1)",0.44187269403510354,4.12491068721889e-08,2.2836536111672535e-234
Cote d'Ivoire,0.4076961341094492,0.32181980137406135,0.947428548867734,0.7740399871477954,"(1, 0, 1)",0.3806980051790099,1.03830520006319e-14,5.782620361036981e-67
Croatia,1.7261093687655844,1.3954912377020945,0.9773954478767513,0.7715237599771401,"(1, 0, 0)",1.5591591020958282,0.0,0.06772150321418097
Cuba,0.6012525506765621,0.41866041644871427,0.9494341002390096,0.6780252606989423,"(1, 0, 0)",0.5262694280578141,2.4308711605048627e-29,3.720435009773698e-17
Cyprus,1.1571098679363154,0.9677284595587332,0.9890965234015829,0.7871667962457927,"(1, 0, 0)",0.973481305497814,3.4571811958012105e-30,8.578726272179164e-14
Czech Republic,1.8549196089087046,1.504022838643318,0.9724759130862412,0.7297164246399851,"(1, 0, 0)",1.8395498933617482,0.0,0.006371758609063266
Denmark,1.6926019459588784,1.3035449107857981,0.9665459271007681,0.6813637270998779,"(1, 0, 0)",1.5985479210347948,1.5914014810522275e-28,1.0323673978400057e-26
Djibouti,0.6097920283628535,0.4888788001918043,0.9886677360019323,0.8664546796504933,"(1, 0, 2)",0.48416201794400165,1.9673004807764397e-15,2.1461481987529184e-52
Dominican Republic,0.4686003981650218,0.3696929819902876,0.9444484869556864,0.7825440391228179,"(1, 0, 2)",0.4314628902422797,1.872124714996025e-08,2.0771036811676564e-119
Ecuador,0.4265731466281219,0.3504069107960127,0.799132370380147,0.7703282051220193,"(2, 0, 2)",0.4871605824045865,1.323015654733667e-10,0.0
Egypt,1.1083119709928895,0.8895765065623628,0.9879484433343786,0.8132579990034635,"(1, 0, 0)",0.9133452266851112,2.1644010211322337e-30,7.083406498996292e-08
El Salvador,0.43070873149784406,0.34436317874703637,0.8581968093662852,0.7695245989218106,"(1, 0, 1)",0.47367750085730126,4.021598671171169e-08,2.9730239199714704e-106
Equatorial Guinea,0.43018938408713203,0.35339632215653566,0.92074862349492,0.5999684505599753,"(1, 0, 1)",0.34100801772768013,1.498907863324191e-09,2.2239199888618396e-97
Eritrea,0.775338485957323,0.6159016640839337,0.9575132455714026,0.7657272763555426,"(1, 0, 1)",0.5569057101534849,6.327310730957261e-19,8.820209574458931e-57
Estonia,2.3600457801691808,1.7865972219495558,0.965115481667325,0.6686413944762261,"(1, 0, 0)",2.2939103270510883,2.3117861947823946e-30,2.483760155595693e-09
Ethiopia,0.6188934598334,0.47633854716060114,0.9269637626752208,0.7745107156668044,"(1, 0, 1)",0.4934029682105655,1.8338318884575162e-17,4.3698754812576174e-72
Finland,2.306009846290019,1.777865197802144,0.9641126104881809,0.740318356034401,"(1, 0, 0)",2.308150298006837,4.4094629939153176e-30,1.4656157502785288e-11
France,1.4710601010660251,1.1682794017630114,0.9704158507405433,0.7084534155693102,"(1, 0, 0)",1.406212459877538,0.0,0.06404658841320808
Gabon,0.4432921342802894,0.34761675689666505,0.9368763542340932,0.7583674364400128,"(2, 0, 0)",0.37049967677198375,4.980124763581386e-16,4.213092996698173e-95
Gambia,0.5602227752250709,0.4214428054057313,0.969471104076725,0.7800536545961928,"(1, 0, 1)",0.5634831124823331,1.1246829103299901e-19,6.310719100765889e-57
Georgia,1.8335169745804019,1.4440465221100156,0.9811650274311629,0.7327029551091097,"(1, 0, 0)",1.650067368767174,6.124425394893873e-30,1.145035614023593e-16
Germany,1.7201401848696412,1.3436069136193753,0.9663980304327657,0.6819621740534471,"(1, 0, 0)",1.732201980106134,0.0,0.0007947010299693743
Ghana,0.3773856110526132,0.288780996090255,0.9656111910652363,0.7471782779035807,"(1, 0, 1)",0.3779217921075312,1.1121897968541219e-08,5.065591115086798e-84
