Country,RMSE,Model_Path,Order,Seasonal_Order
Afghanistan,8.81131749479224,../modelos/modelos_climaticos_sarima\Afghanistan.joblib,"(3, 0, 0)","(0, 0, 3, 12)"
Albania,1.2180721564030366,../modelos/modelos_climaticos_sarima\Albania.joblib,"(3, 0, 1)","(2, 0, 2, 12)"
Algeria,6.136364176571683,../modelos/modelos_climaticos_sarima\Algeria.joblib,"(0, 0, 0)","(1, 0, 0, 12)"
Angola,2.3517340690466804,../modelos/modelos_climaticos_sarima\Angola.joblib,"(3, 0, 0)","(3, 0, 0, 12)"
Argentina,4.860765644946903,../modelos/modelos_climaticos_sarima\Argentina.joblib,"(0, 0, 0)","(2, 0, 0, 12)"
Armenia,1.6919565390335858,../modelos/modelos_climaticos_sarima\Armenia.joblib,"(1, 0, 3)","(3, 0, 3, 12)"
Australia,4.746661857117018,../modelos/modelos_climaticos_sarima\Australia.joblib,"(0, 0, 0)","(3, 0, 0, 12)"
Austria,2.1074784468208634,../modelos/modelos_climaticos_sarima\Austria.joblib,"(2, 0, 3)","(3, 0, 2, 12)"
Bahamas,0.8384354738974874,../modelos/modelos_climaticos_sarima\Bahamas.joblib,"(1, 0, 2)","(3, 0, 3, 12)"
Bahrain,0.9521720637537013,../modelos/modelos_climaticos_sarima\Bahrain.joblib,"(1, 0, 2)","(2, 0, 2, 12)"
Belgium,5.42386719895174,../modelos/modelos_climaticos_sarima\Belgium.joblib,"(1, 0, 0)","(0, 0, 3, 12)"
Benin,1.0088723694932182,../modelos/modelos_climaticos_sarima\Benin.joblib,"(0, 0, 1)","(3, 0, 0, 12)"
Bolivia,3.5893572488104115,../modelos/modelos_climaticos_sarima\Bolivia.joblib,"(0, 0, 0)","(3, 0, 0, 12)"
Bosnia and Herzegovina,5.8362950226153565,../modelos/modelos_climaticos_sarima\Bosnia_and_Herzegovina.joblib,"(0, 0, 0)","(1, 0, 0, 12)"
Botswana,1.0667553677116517,../modelos/modelos_climaticos_sarima\Botswana.joblib,"(2, 0, 3)","(1, 0, 1, 12)"
Brazil,3.2627537798041,../modelos/modelos_climaticos_sarima\Brazil.joblib,"(0, 0, 1)","(3, 0, 0, 12)"
Bulgaria,3.4344998044529707,../modelos/modelos_climaticos_sarima\Bulgaria.joblib,"(2, 0, 2)","(0, 0, 3, 12)"
Burkina Faso,1.7055412134614163,../modelos/modelos_climaticos_sarima\Burkina_Faso.joblib,"(3, 0, 0)","(1, 0, 0, 12)"
Burma,2.2374534464052522,../modelos/modelos_climaticos_sarima\Burma.joblib,"(2, 0, 2)","(1, 0, 0, 12)"
Burundi,0.41555438611695483,../modelos/modelos_climaticos_sarima\Burundi.joblib,"(3, 0, 1)","(2, 0, 1, 12)"
Cambodia,0.45186966954404056,../modelos/modelos_climaticos_sarima\Cambodia.joblib,"(3, 0, 1)","(1, 0, 3, 12)"
Cameroon,2.275799949072001,../modelos/modelos_climaticos_sarima\Cameroon.joblib,"(0, 0, 1)","(3, 0, 0, 12)"
Canada,3.786729325446086,../modelos/modelos_climaticos_sarima\Canada.joblib,"(2, 0, 1)","(1, 0, 3, 12)"
Central African Republic,0.45036738569671414,../modelos/modelos_climaticos_sarima\Central_African_Republic.joblib,"(2, 0, 0)","(3, 0, 3, 12)"
Chad,0.84539367780617,../modelos/modelos_climaticos_sarima\Chad.joblib,"(2, 0, 2)","(1, 0, 2, 12)"
Chile,4.215229202893352,../modelos/modelos_climaticos_sarima\Chile.joblib,"(2, 0, 0)","(3, 0, 0, 12)"
China,6.89875573805091,../modelos/modelos_climaticos_sarima\China.joblib,"(0, 0, 1)","(3, 0, 0, 12)"
Colombia,3.391518659112044,../modelos/modelos_climaticos_sarima\Colombia.joblib,"(0, 0, 0)","(0, 0, 0, 12)"
Congo,1.862997822797408,../modelos/modelos_climaticos_sarima\Congo.joblib,"(0, 0, 1)","(0, 0, 1, 12)"
Costa Rica,0.28431222293977304,../modelos/modelos_climaticos_sarima\Costa_Rica.joblib,"(0, 0, 1)","(1, 0, 1, 12)"
Cote d'Ivoire,1.152026214663589,../modelos/modelos_climaticos_sarima\Cote_d'Ivoire.joblib,"(1, 0, 0)","(1, 0, 0, 12)"
Croatia,7.161930902735982,../modelos/modelos_climaticos_sarima\Croatia.joblib,"(1, 0, 0)","(0, 0, 3, 12)"
Cuba,1.4295225218708019,../modelos/modelos_climaticos_sarima\Cuba.joblib,"(0, 0, 0)","(1, 0, 0, 12)"
Cyprus,0.8228281425440508,../modelos/modelos_climaticos_sarima\Cyprus.joblib,"(1, 0, 1)","(3, 0, 3, 12)"
Czech Republic,1.8350725893958295,../modelos/modelos_climaticos_sarima\Czech_Republic.joblib,"(1, 0, 1)","(1, 0, 3, 12)"
Denmark,1.6664663966456283,../modelos/modelos_climaticos_sarima\Denmark.joblib,"(3, 0, 1)","(2, 0, 1, 12)"
Djibouti,0.5078037287932066,../modelos/modelos_climaticos_sarima\Djibouti.joblib,"(1, 0, 2)","(1, 0, 2, 12)"
Dominican Republic,1.1349287070262268,../modelos/modelos_climaticos_sarima\Dominican_Republic.joblib,"(0, 0, 0)","(1, 0, 0, 12)"
Ecuador,2.4400966394895054,../modelos/modelos_climaticos_sarima\Ecuador.joblib,"(0, 0, 0)","(0, 0, 0, 12)"
El Salvador,0.7578643397468885,../modelos/modelos_climaticos_sarima\El_Salvador.joblib,"(1, 0, 0)","(1, 0, 0, 12)"
Equatorial Guinea,0.5206446299403006,../modelos/modelos_climaticos_sarima\Equatorial_Guinea.joblib,"(3, 0, 1)","(1, 0, 2, 12)"
Eritrea,0.505016046969399,../modelos/modelos_climaticos_sarima\Eritrea.joblib,"(2, 0, 1)","(1, 0, 1, 12)"
