Country,RMSE_Test,MAE_Test,AIC,Model_Order,Seasonal_Order,ADF_PValue,Is_Stationary,Trend_Mean_Train,Seasonal_Strength
Afghanistan,6.499173545085433,5.180625986527533,3494.6271433588745,"(1, 0, 0)","(1, 0, 0, 12)",7.200795859717098e-10,True,13.872211380385487,8.857963583344915
Albania,1.3657743265587217,1.0832867297459965,2023.3382216193313,"(3, 0, 1)","(1, 0, 1, 12)",2.3744751957424768e-08,True,15.79703295068027,5.608792663978695
Algeria,3.9916715284918984,2.7428769917824134,3174.9322180640365,"(2, 0, 3)","(0, 0, 2, 12)",2.9664766919588296e-11,True,17.95754088718821,6.686767522932873
Angola,2.516323311117423,2.124616201987515,2722.266303923434,"(1, 0, 1)","(2, 0, 2, 12)",6.082243121425057e-07,True,22.157483914399094,1.583492804012866
Argentina,4.982350803536986,4.151825215083369,3443.90094653356,"(1, 0, 1)","(2, 0, 0, 12)",1.7427665262560813e-05,True,17.25915625,4.586691458681329
Armenia,1.8699357375244707,1.479008881173469,2361.824423265716,"(3, 0, 2)","(1, 0, 2, 12)",3.775908546903329e-10,True,8.837993055555554,8.479814313526118
Australia,4.912148329187349,3.982818018531204,3516.370376620389,"(1, 0, 0)","(2, 0, 0, 12)",3.319192606932156e-11,True,16.90062003968254,3.047013384650996
Austria,2.1696494928217747,1.7465299332437452,2722.069284576759,"(1, 0, 1)","(1, 0, 2, 12)",2.8997729330852303e-06,True,6.61790802154195,7.0943139948325245
Azerbaijan,1.8329435485590544,1.43838273363452,2321.3507265487046,"(1, 0, 2)","(1, 0, 1, 12)",4.179921491176125e-10,True,11.592328089569161,8.27106347832106
Bahamas,0.9277066823718293,0.6641464554824135,1463.849885816122,"(2, 0, 3)","(1, 0, 1, 12)",0.00048365270307675675,True,25.094723993764173,2.7544674075749644
Bahrain,1.2478795083274392,1.036522751151096,1710.832642069974,"(1, 0, 1)","(1, 0, 1, 12)",1.333722095492932e-06,True,26.08253635204082,6.801491108796565
Bangladesh,1.3759543099285716,0.9470574739150871,1967.0191038326334,"(1, 0, 0)","(1, 0, 2, 12)",1.053871254957219e-05,True,25.506329648526076,3.853718817619903
Belarus,2.6989795402704666,2.171654314896507,2813.5890124901434,"(2, 0, 2)","(0, 0, 1, 12)",2.6285445506429797e-07,True,6.500038052721089,8.59342399487657
Belgium,4.733111992486239,3.9811232843282105,2577.7846605055583,"(3, 0, 1)","(0, 0, 2, 12)",0.000100941881169913,True,10.022403628117914,5.579864373338008
Benin,1.7255018097550756,1.2988567877887833,1621.1030260449234,"(0, 0, 2)","(1, 0, 2, 12)",5.183881282717302e-07,True,27.159153911564626,1.439149674592404
Bolivia,3.789890890768682,3.056761946429397,3103.7286763711054,"(1, 0, 0)","(2, 0, 0, 12)",2.642832077081253e-08,True,11.831263321995463,2.224210981096932
Bosnia and Herzegovina,6.6697728581187,5.573933241666175,3517.0199926213622,"(1, 0, 0)","(1, 0, 0, 12)",2.539063555931867e-10,True,10.850837089002267,6.6760038478343935
Botswana,1.05816798331389,0.8583155891090966,1700.931281068828,"(1, 0, 1)","(1, 0, 1, 12)",0.0015157070767459967,True,19.31227806122449,4.647281947830794
Brazil,3.6967950445485145,2.83622993489167,3303.1338686612426,"(3, 1, 0)","(2, 0, 0, 12)",2.71582669355383e-07,True,22.358419784580498,1.8912019254451164
Bulgaria,2.6887867461808037,2.268112303545125,2886.297756294499,"(2, 0, 2)","(0, 0, 1, 12)",6.042246700173406e-13,True,10.945424886621314,7.225951497166156
Burkina Faso,1.843478158709711,1.3293152820611869,1864.8872840722759,"(3, 0, 3)","(2, 0, 0, 12)",6.367058108080687e-07,True,28.057483418367347,1.578840104060762
